iter	Passed	Remaining
1310	9939	141699
1311	9947	141692
1312	9954	141677
1313	9961	141661
1314	9968	141643
1315	9976	141636
1316	9983	141626
1317	9990	141616
1318	9998	141608
1319	10006	141606
1320	10014	141599
1321	10020	141582
1322	10028	141567
1323	10035	141555
1324	10043	141556
1325	10050	141544
1326	10058	141535
1327	10066	141534
1328	10075	141550
1329	10084	141555
1330	10092	141561
1331	10100	141563
1332	10109	141568
1333	10117	141568
1334	10124	141559
1335	10133	141561
1336	10142	141580
1337	10151	141594
1338	10160	141596
1339	10168	141600
1340	10177	141608
1341	10186	141619
1342	10195	141635
1343	10204	141654
1344	10213	141659
1345	10220	141648
1346	10228	141648
1347	10237	141660
1348	10245	141656
1349	10253	141650
1350	10261	141647
1351	10269	141649
1352	10278	141655
1353	10286	141653
1354	10293	141645
1355	10302	141654
1356	10311	141659
1357	10319	141661
1358	10327	141655
1359	10335	141653
1360	10343	141654
1361	10351	141655
1362	10359	141651
1363	10366	141639
1364	10374	141634
1365	10382	141632
1366	10389	141619
1367	10397	141614
1368	10405	141615
1369	10413	141607
1370	10420	141597
1371	10428	141586
1372	10436	141589
1373	10444	141586
1374	10451	141574
1375	10459	141566
1376	10466	141559
1377	10474	141555
1378	10482	141546
1379	10489	141535
1380	10497	141529
1381	10505	141526
1382	10513	141520
1383	10520	141509
1384	10528	141502
1385	10536	141502
1386	10543	141493
1387	10551	141489
1388	10558	141475
1389	10567	141479
1390	10575	141486
1391	10583	141477
1392	10591	141476
1393	10598	141461
1394	10606	141458
1395	10613	141447
1396	10621	141443
1397	10629	141435
1398	10637	141431
1399	10645	141431
1400	10652	141421
1401	10660	141412
1402	10668	141412
1403	10676	141407
1404	10684	141405
1405	10691	141387
1406	10698	141380
1407	10706	141378
1408	10714	141368
1409	10721	141359
1410	10729	141351
1411	10737	141354
1412	10745	141350
1413	10752	141335
1414	10760	141326
1415	10767	141318
1416	10775	141308
1417	10781	141288
1418	10788	141273
1419	10795	141256
1420	10803	141247
1421	10810	141237
1422	10817	141218
1423	10824	141206
1424	10831	141191
1425	10839	141181
1426	10846	141169
1427	10853	141150
1428	10861	141151
1429	10868	141143
1430	10875	141123
1431	10882	141107
1432	10889	141096
1433	10896	141081
1434	10904	141080
1435	10911	141065
1436	10919	141051
1437	10926	141038
1438	10933	141029
1439	10940	141014
1440	10947	140997
1441	10954	140977
1442	10961	140962
1443	10968	140952
1444	10975	140938
1445	10982	140920
1446	10990	140913
1447	10998	140909
1448	11005	140900
1449	11013	140896
1450	11021	140891
1451	11028	140885
1452	11037	140891
1453	11045	140886
1454	11052	140877
1455	11060	140866
1456	11068	140863
1457	11075	140856
1458	11082	140841
1459	11089	140825
1460	11097	140814
1461	11104	140810
1462	11112	140805
1463	11120	140793
1464	11127	140779
1465	11135	140774
1466	11143	140783
1467	11153	140796
1468	11160	140786
1469	11168	140781
1470	11176	140776
1471	11183	140760
1472	11190	140751
1473	11197	140734
1474	11205	140734
1475	11212	140722
1476	11219	140706
1477	11227	140705
1478	11236	140712
1479	11244	140710
1480	11252	140704
1481	11260	140697
1482	11268	140694
1483	11275	140686
1484	11282	140675
1485	11290	140672
1486	11299	140675
1487	11307	140671
1488	11314	140660
1489	11321	140649
1490	11329	140646
1491	11337	140644
1492	11344	140628
1493	11352	140621
1494	11359	140607
1495	11366	140597
1496	11374	140590
1497	11382	140581
1498	11389	140567
1499	11396	140560
1500	11403	140545
1501	11410	140529
1502	11417	140513
1503	11424	140501
1504	11432	140492
1505	11439	140482
1506	11447	140473
1507	11454	140460
1508	11461	140447
1509	11469	140440
1510	11476	140427
1511	11483	140414
1512	11490	140397
1513	11497	140390
1514	11505	140380
1515	11512	140363
1516	11519	140351
1517	11526	140341
1518	11534	140330
1519	11541	140315
1520	11548	140307
1521	11555	140291
1522	11563	140282
1523	11569	140266
1524	11576	140250
1525	11583	140236
1526	11591	140223
1527	11598	140214
1528	11605	140203
1529	11614	140209
1530	11621	140198
1531	11629	140196
1532	11636	140178
1533	11643	140163
1534	11650	140146
1535	11657	140129
1536	11664	140119
1537	11671	140101
1538	11679	140097
1539	11686	140087
1540	11693	140074
1541	11701	140063
1542	11708	140051
1543	11715	140035
1544	11722	140022
1545	11730	140019
1546	11737	140005
1547	11744	139990
1548	11751	139976
1549	11758	139961
1550	11765	139952
1551	11772	139933
1552	11779	139919
1553	11786	139905
1554	11793	139889
1555	11800	139880
1556	11807	139864
1557	11814	139848
1558	11821	139831
1559	11828	139818
1560	11835	139809
1561	11842	139792
1562	11849	139777
1563	11857	139769
1564	11864	139760
1565	11872	139750
1566	11878	139732
1567	11885	139716
1568	11892	139701
1569	11899	139689
1570	11906	139677
1571	11913	139658
1572	11920	139643
1573	11928	139638
1574	11935	139626
1575	11942	139612
1576	11949	139594
1577	11956	139581
1578	11963	139574
1579	11970	139559
1580	11977	139546
1581	11984	139531
1582	11991	139515
1583	11999	139507
1584	12006	139493
1585	12013	139478
1586	12020	139468
1587	12027	139457
1588	12034	139443
1589	12042	139430
1590	12049	139416
1591	12056	139402
1592	12063	139390
1593	12070	139382
1594	12077	139364
1595	12084	139348
1596	12091	139332
1597	12098	139321
1598	12105	139306
1599	12112	139293
1600	12119	139276
1601	12126	139265
1602	12133	139250
1603	12140	139235
1604	12146	139217
1605	12153	139201
1606	12161	139194
1607	12168	139183
1608	12175	139166
1609	12182	139150
1610	12189	139138
1611	12196	139128
1612	12204	139118
1613	12210	139101
1614	12218	139089
1615	12225	139081
1616	12232	139068
1617	12239	139051
1618	12246	139038
1619	12253	139021
1620	12261	139017
1621	12268	139007
1622	12275	138996
1623	12282	138981
1624	12289	138970
1625	12298	138975
1626	12305	138962
1627	12312	138950
1628	12320	138940
1629	12329	138948
1630	12336	138934
1631	12343	138922
1632	12350	138913
1633	12357	138897
1634	12364	138887
1635	12372	138879
1636	12379	138868
1637	12386	138854
1638	12394	138848
1639	12401	138834
1640	12408	138821
1641	12415	138810
1642	12423	138802
1643	12431	138800
1644	12439	138795
1645	12446	138788
1646	12454	138782
1647	12462	138781
1648	12470	138777
1649	12477	138764
1650	12486	138768
1651	12494	138765
1652	12502	138762
1653	12509	138758
1654	12517	138754
1655	12526	138756
1656	12534	138751
1657	12541	138741
1658	12548	138733
1659	12556	138730
1660	12564	138725
1661	12572	138719
1662	12580	138720
1663	12589	138725
1664	12598	138732
1665	12606	138727
1666	12613	138718
1667	12621	138712
1668	12629	138713
1669	12636	138704
1670	12644	138698
1671	12651	138686
1672	12659	138677
1673	12668	138688
1674	12679	138714
1675	12687	138714
